geo_code,Christian_2011,Christian_2021,Christian_2025,Christian_2031,No religion_2011,No religion_2021,No religion_2025,No religion_2031,Not answered_2011,Not answered_2021,Not answered_2025,Not answered_2031,Other religions_2011,Other religions_2021,Other religions_2025,Other religions_2031,geo_name
95AA,80.76476753762071,77.08479082132364,74.12689891431307,69.42431475756516,12.193980684285394,20.116832237302365,23.70193295004719,28.500118414297397,6.206483491802051,1.4621519518679167,0.6794640281231579,0.27253741316192187,0.8347682862918321,1.3362249895060865,1.4917041075165791,1.8030294149755322,Antrim
95BB,76.36338020953406,69.7054407402434,65.83577955209722,60.028505040506474,16.874151489536104,27.81528094825376,32.41510098905543,38.57430234745477,5.789082712159635,1.4221365006897058,0.6757536709129341,0.28795580179710467,0.9733855887702042,1.0571418108131203,1.0733657879344005,1.1092368102416374,Ards
95CC,87.78395685877992,87.45573790682637,85.71011585196972,82.45223598065621,5.293225480283114,10.20414447147212,12.58944832454202,15.917439775227516,6.405460060667341,1.488745881700896,0.7233319386079391,0.32154093533708,0.5173576002696326,0.8513717400006159,0.9771038848803346,1.308783308779201,Armagh
95DD,83.69558428580352,79.7605092517027,76.9399061380581,72.40656360090159,9.284242083567547,16.969121422106152,20.851085641838907,26.241093271623278,6.251951783149084,2.54774234712804,1.5116200601030618,0.6670620807785136,0.7682218474798576,0.7226269790631074,0.6973881599999397,0.6852810466966197,Ballymena
95EE,86.37266205482962,83.86086956521739,81.48080925975088,77.2892616952193,8.067512170125545,14.368379446640317,17.283799391905333,21.63119880418937,5.00576479631053,1.166798418972332,0.5873126347641636,0.2917628515185269,0.5540609787343069,0.6039525691699605,0.6480787135796232,0.7877766490728155,Ballymoney
95FF,84.71420592068516,80.50264344580937,77.30486888609397,72.30182216053163,9.63404290531455,17.41369926916498,21.108556975212707,26.18655608297707,4.987691098285028,1.1740009329808738,0.5810606303318944,0.26054245026667794,0.6640600757152609,0.9096563520447831,1.0055135083614353,1.2510793062246224,Banbridge
95GG,76.03554929136325,72.20170817777323,69.04364406755366,63.52494778665577,13.254105537403635,22.286776112787464,26.1121887178327,31.02348586365325,9.19483773606395,2.256772191820522,0.9583803106123473,0.36144489058978524,1.5155074351691686,3.2547435176187802,3.88578690400129,5.0901214591012085,Belfast
95HH,74.76095515672138,67.03318874205588,63.00617273435878,56.88959689513641,18.65316766375211,30.34399273681025,35.08207163398222,41.28672138294518,5.770312420105332,1.4475940683950368,0.6601316755359649,0.30541342848662606,0.8155647594211791,1.1752244527388278,1.2516239561230418,1.5182682934317728,Carrickfergus
95II,76.76452217364147,70.1781918308533,66.25463612535582,60.50430766273449,16.361797685970078,26.70309446021714,31.271965702072947,37.19652392511515,5.733024002855358,1.4609162113192473,0.700536084820765,0.2993409689650346,1.1406561375330895,1.6577974976103176,1.772862087750482,1.999827443185334,Castlereagh
95JJ,81.7681615792236,77.77117435305304,74.85013975762911,69.94611707763909,11.131427023549529,19.700468654486176,23.35320324288077,28.593409593982088,6.269151979954966,1.5299191740813693,0.6970899465049991,0.2725575879768983,0.8312594172719117,0.9984378183794064,1.0995670529851211,1.1879157404019356,Coleraine
95KK,89.01467052116824,90.0217084006462,88.82659417361221,86.05933373757148,4.30119147326615,8.279483037156703,10.179219143780037,13.112576563466986,6.2653662226785185,1.26968901453958,0.5556852419998569,0.21825154617055648,0.41877178288709366,0.4291195476575121,0.4385014406079003,0.6098381527909729,Cookstown
95LL,84.20283155778678,81.09481840936772,78.18038164636806,73.33614970705102,8.46672328348903,16.053053043453243,19.61171127446529,24.473600750124742,6.495167861711619,1.48935966165738,0.6617307085727042,0.26950909040247634,0.8352772970125668,1.3627688855216595,1.5461763705939298,1.9207404524217517,Craigavon
95MM,86.86466994818173,88.34038083682691,86.98557887653534,84.11741170648617,4.528305384836434,9.089015854619209,11.280625140753829,14.368332754608815,7.932182022117782,1.5465271049700744,0.5970962716669705,0.2359607924703342,0.6748426448640581,1.024076203583814,1.1366997110438612,1.2782947464346897,Derry
95NN,84.57931192726335,83.16241419859436,81.13390835331569,77.532449472316,8.994564827695,14.845352366888179,17.514942173469354,21.35352472817809,5.929930733819965,1.3482101348210134,0.6397758877198098,0.26153750238892787,0.49619251122169483,0.6440232996964476,0.7113735854951717,0.8524882971169947,Down
95OO,88.53453640323585,89.45555003724857,87.95038656725974,84.82597476159944,3.875406208946968,8.405761112490689,10.703873640225481,14.080347427093919,7.104335200165941,1.4666625279364292,0.6157115761238044,0.2497966811881054,0.48572218765124797,0.6720263223243108,0.7300282163909528,0.8438811301185366,Dungannon
95PP,89.21122886497857,87.88818907458219,86.19942323552176,82.92328917122201,4.8620661758757375,9.240147168870044,11.594430623997663,14.888667856572246,5.396003559582558,1.9269144425043652,1.0620874767608706,0.5365420929221396,0.5307013995631421,0.9447493140434023,1.1440586637196957,1.651500879283606,Fermanagh
95QQ,81.46364201367308,75.94817874577544,72.18958128022918,66.41656058021749,12.029210689869483,22.005257228689448,26.406720537129257,32.297593495710764,6.000621504039776,1.2986606584053073,0.5813997763569286,0.24579949628697428,0.5065257924176507,0.7479033671298035,0.8222984062846381,1.040046427784767,Larne
95RR,90.27015744274809,89.1582194799471,87.6235742299585,84.70502269938298,4.815720419847328,9.137652416629939,11.314731956893082,14.590511854915233,4.639790076335878,1.3809313941530776,0.7456952317114651,0.3343705505472785,0.2743320610687023,0.32319670926986926,0.3159985814369469,0.37009489515449695,Limavady
